# ==============================================================================
# optimization_scenarios_preliminary.csv
# GHI CHU QUAN TRONG:
# Kich ban so bo, dung luat don gian (if-then), CHUA phai ket qua tu bo giai toi uu (MILP)
# — khong dung so nay de khang dinh muc tiet kiem chac chan, Sprint 3 se tinh chinh.
#
# CAN CU VA GIA DINH MINH HOA:
# 1. Bieu gia tam: Dien kinh doanh EVN (QD 1279/QD-BCT & 963/QD-BCT), cap dien ap >= 22kV.
#    - Thap diem (00:00 - 06:00 T2-CN): 1.609 VND/kWh
#    - Binh thuong (06:00 - 18:00 & 23:00 - 24:00 T2-T7; 06:00 - 24:00 CN): 2.887 VND/kWh
#    - Cao diem (18:00 - 23:00 T2-T7, khong co CN): 5.025 VND/kWh
# 2. Kich ban 'hien_trang': Chi phi theo bieu gia TOU nhan voi tai du bao cua mo hinh hoi quy.
# 3. Kich ban 'dich_tai_thu_cong': Dich 15% tai gio cao diem sang gio thap diem gan nhat (0h-6h),
#    tong kWh tieu thu bao toan 100%.
# 4. Kich ban 'giam_dinh_don_gian': Cat giam 10% cong suat trong gio cao diem nho dieu chinh
#    nhiet do setpoint / giam chieu sang phu tro.
# 5. Doi voi Chiller (cooling_kw): Cong suat dien quy doi = cooling_kw / COP_rated (COP dinh muc = 5.4).
# ==============================================================================
building_id,metric,scenario,total_kwh,cost_vnd,savings_vnd,savings_pct,assumptions
PORTFOLIO_TOTAL,cooling_kw,hien_trang,116547979.21,347817968618.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
PORTFOLIO_TOTAL,cooling_kw,dich_tai_thu_cong,116507620.27,336860860380.0,10957108239.0,3.15,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
PORTFOLIO_TOTAL,cooling_kw,giam_dinh_don_gian,114422262.78,337136243874.0,10681724756.0,3.07,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
PORTFOLIO_TOTAL,power_active_kw,hien_trang,278303741.82,831827473467.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
PORTFOLIO_TOTAL,power_active_kw,dich_tai_thu_cong,278173674.52,806680385358.0,25147088124.0,3.02,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
PORTFOLIO_TOTAL,power_active_kw,giam_dinh_don_gian,273436878.21,807371483211.0,24455990264.0,2.94,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bobcat_education_Alissa,cooling_kw,hien_trang,2117.7,6562226.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bobcat_education_Alissa,cooling_kw,dich_tai_thu_cong,2117.05,6393251.0,168975.0,2.57,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bobcat_education_Alissa,cooling_kw,giam_dinh_don_gian,2084.93,6397552.0,164674.0,2.51,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bobcat_education_Angela,cooling_kw,hien_trang,20832.78,62371977.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bobcat_education_Angela,cooling_kw,dich_tai_thu_cong,20830.46,60409484.0,1962493.0,3.15,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bobcat_education_Angela,cooling_kw,giam_dinh_don_gian,20450.5,60451048.0,1920930.0,3.08,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bobcat_education_Miki,cooling_kw,hien_trang,8123.19,24282523.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bobcat_education_Miki,cooling_kw,dich_tai_thu_cong,8123.19,23748969.0,533554.0,2.2,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bobcat_education_Miki,cooling_kw,giam_dinh_don_gian,8019.06,23759278.0,523245.0,2.15,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bobcat_education_Rosalva,cooling_kw,hien_trang,14977.43,45208607.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bobcat_education_Rosalva,cooling_kw,dich_tai_thu_cong,14961.34,44413969.0,794638.0,1.76,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bobcat_education_Rosalva,cooling_kw,giam_dinh_don_gian,14827.4,44454714.0,753893.0,1.67,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Annette,cooling_kw,hien_trang,65131.02,196425130.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Annette,cooling_kw,dich_tai_thu_cong,64904.94,190101493.0,6323637.0,3.22,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Annette,cooling_kw,giam_dinh_don_gian,63967.89,190580403.0,5844727.0,2.98,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Antonia,cooling_kw,hien_trang,177734.02,535592555.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Antonia,cooling_kw,dich_tai_thu_cong,177107.37,517769693.0,17822861.0,3.33,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Antonia,cooling_kw,giam_dinh_don_gian,174452.48,519102844.0,16489711.0,3.08,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Arthur,cooling_kw,hien_trang,78064.19,250739780.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Arthur,cooling_kw,dich_tai_thu_cong,77728.91,241555841.0,9183939.0,3.66,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Arthur,cooling_kw,giam_dinh_don_gian,76377.13,242262319.0,8477462.0,3.38,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Barry,cooling_kw,hien_trang,177851.78,528670771.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Barry,cooling_kw,dich_tai_thu_cong,177311.55,511797226.0,16873545.0,3.19,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Barry,cooling_kw,giam_dinh_don_gian,174728.39,512975688.0,15695083.0,2.97,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Bernice,cooling_kw,hien_trang,84868.6,252519695.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Bernice,cooling_kw,dich_tai_thu_cong,84614.03,244946526.0,7573169.0,3.0,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Bernice,cooling_kw,giam_dinh_don_gian,83470.55,245494525.0,7025170.0,2.78,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Brain,cooling_kw,hien_trang,135779.63,409014603.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Brain,cooling_kw,dich_tai_thu_cong,135307.37,395633780.0,13380823.0,3.27,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Brain,cooling_kw,giam_dinh_don_gian,133316.52,396637484.0,12377119.0,3.03,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Brenda,cooling_kw,hien_trang,87194.74,264317248.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Brenda,cooling_kw,dich_tai_thu_cong,86884.34,255425873.0,8891375.0,3.36,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Brenda,cooling_kw,giam_dinh_don_gian,85556.96,256087443.0,8229805.0,3.11,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Bryon,cooling_kw,hien_trang,11486.53,35724176.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Bryon,cooling_kw,dich_tai_thu_cong,11446.05,34512723.0,1211454.0,3.39,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Bryon,cooling_kw,giam_dinh_don_gian,11262.81,34600000.0,1124177.0,3.15,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Carl,cooling_kw,hien_trang,195335.74,588748452.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Carl,cooling_kw,dich_tai_thu_cong,194669.78,569647025.0,19101427.0,3.24,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Carl,cooling_kw,giam_dinh_don_gian,191817.02,571066898.0,17681554.0,3.0,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Clarita,cooling_kw,hien_trang,126119.24,380343706.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Clarita,cooling_kw,dich_tai_thu_cong,125704.31,367781163.0,12562543.0,3.3,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Clarita,cooling_kw,giam_dinh_don_gian,123797.83,368678610.0,11665096.0,3.07,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Dan,cooling_kw,hien_trang,97782.93,294898150.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Dan,cooling_kw,dich_tai_thu_cong,97421.68,285002144.0,9896006.0,3.36,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Dan,cooling_kw,giam_dinh_don_gian,95965.06,285763361.0,9134789.0,3.1,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Dania,cooling_kw,hien_trang,23751.63,71541801.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Dania,cooling_kw,dich_tai_thu_cong,23668.19,69172494.0,2369307.0,3.31,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Dania,cooling_kw,giam_dinh_don_gian,23315.44,69349933.0,2191867.0,3.06,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Delia,cooling_kw,hien_trang,545229.12,1627435831.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Delia,cooling_kw,dich_tai_thu_cong,543547.32,1576296949.0,51138882.0,3.14,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Delia,cooling_kw,giam_dinh_don_gian,535776.96,1579938726.0,47497105.0,2.92,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Dora,cooling_kw,hien_trang,54739.47,173725509.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Dora,cooling_kw,dich_tai_thu_cong,54539.92,167505792.0,6219717.0,3.58,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Dora,cooling_kw,giam_dinh_don_gian,53588.29,167940830.0,5784679.0,3.33,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Dottie,cooling_kw,hien_trang,785188.11,2327007899.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Dottie,cooling_kw,dich_tai_thu_cong,783070.69,2259670905.0,67336994.0,2.89,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Dottie,cooling_kw,giam_dinh_don_gian,772711.52,2264313020.0,62694880.0,2.69,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Elva,cooling_kw,hien_trang,31562.63,95085326.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Elva,cooling_kw,dich_tai_thu_cong,31449.22,91945809.0,3139517.0,3.3,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Elva,cooling_kw,giam_dinh_don_gian,30985.54,92185427.0,2899899.0,3.05,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Fabiola,cooling_kw,hien_trang,52028.16,168700629.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Fabiola,cooling_kw,dich_tai_thu_cong,51827.52,162517976.0,6182653.0,3.66,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Fabiola,cooling_kw,giam_dinh_don_gian,50884.56,162954029.0,5746600.0,3.41,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Geneva,cooling_kw,hien_trang,15715.02,48753282.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Geneva,cooling_kw,dich_tai_thu_cong,15661.07,47042677.0,1710604.0,3.51,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Geneva,cooling_kw,giam_dinh_don_gian,15398.11,47160845.0,1592437.0,3.27,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Genie,cooling_kw,hien_trang,62805.42,196461624.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Genie,cooling_kw,dich_tai_thu_cong,62555.27,189490199.0,6971425.0,3.55,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Genie,cooling_kw,giam_dinh_don_gian,61523.43,190019607.0,6442017.0,3.28,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Gregory,cooling_kw,hien_trang,38247.74,116155978.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Gregory,cooling_kw,dich_tai_thu_cong,38103.89,112201683.0,3954295.0,3.4,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Gregory,cooling_kw,giam_dinh_don_gian,37521.19,112505070.0,3650908.0,3.14,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Hayley,cooling_kw,hien_trang,56622.5,171179150.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Hayley,cooling_kw,dich_tai_thu_cong,56438.46,165622122.0,5557028.0,3.25,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Hayley,cooling_kw,giam_dinh_don_gian,55595.78,166019880.0,5159270.0,3.01,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
Bull_education_Jae,cooling_kw,hien_trang,131675.42,394080443.0,0.0,0.0,"Hien trang van hanh theo du bao phu tai, khong can thiep dich chuyen hay tiet giam"
Bull_education_Jae,cooling_kw,dich_tai_thu_cong,131263.03,381541599.0,12538844.0,3.18,Dich 15% phu tai gio cao diem (18h-22h T2-T7) sang gio thap diem (0h-6h). Tong kWh khong doi
Bull_education_Jae,cooling_kw,giam_dinh_don_gian,129357.83,382434566.0,11645878.0,2.96,Cat giam 10% cong suat gio cao diem (18h-22h T2-T7) nho tang setpoint/tiet giam den
